Date,ATM_WITHDRWLS_1WEEKAGO,HOLIDAY,AVG_ATM_WITHDRW_PREVMONTH,ATM_WITHDRWLS_2WEEKAGO,DAY_OF_WEEK,MONTH,FIRSTWORKDAY,LASTWORKDAY,BRA_WITHDRWL_RATIO,AVG_BRA_WITHDRWL_PREVMONTH,BRA_WITHDRWLS,BRA_DEPOSITS,IsSaturday,IsSunday
2006-09-25,-2132.3059188633997,3098.760489770473,-512.0072261214154,-683.00315671914,-4000.1573498030884,39.27710213743558,12666.500576980474,12311.330098155202,32679.580358559662,-171.56914395900094,31942.57307171303,-11887.61295487023,2744.9367390052576,12311.330098155217
2006-09-26,-1345.376510165348,2439.375409623719,-660.7532515090516,-882.667111961835,-4607.421265331122,113.64088954012641,13242.368866495955,12839.24945326431,33390.78034046562,-54.52369709799132,33653.56337625237,-12889.587231639343,2856.564363103993,12839.249453264281
2006-09-27,-740.0187720326794,2101.0244424497505,-577.5302740203624,-1028.6519555086088,-4745.865759517968,-210.93968688733003,14101.427735780646,13291.707026017004,35500.044788273444,-491.0563514868991,33034.79186725471,-11973.70619777216,2640.4780043002065,13291.707026016946
2006-09-28,-570.8569127752235,2162.242585817148,-1060.0705035209212,-907.5982330609577,-4330.904046252559,-1580.63421027613,14235.555870801583,13104.40839036114,35344.93273403357,-1449.1601810636857,33292.53135022797,-12413.887814335545,2338.379157760386,13104.40839036117
2006-09-29,-368.62562857002195,2320.6802065152087,-2321.8343822333486,-668.9391111773746,-4214.861074204983,-5011.554717060769,14416.991721563916,13072.974218361664,35295.58188590749,-3911.9699704680047,32314.274709211077,-11491.000133869265,2330.982497273014,13072.974218361664
2006-09-30,-694.7679880522921,2349.5526362061355,-2997.391697221368,-696.313374829576,-4298.60749179666,-5432.234164199763,14316.149035966855,12435.71183009877,34791.49604004977,-4004.776597606588,32450.46966175019,-11533.61769559443,2405.7373722084935,12435.711830098799
2006-10-01,-588.7568893843982,2538.153102133023,-3998.1297997973697,-528.8787296229593,-4139.645732312572,-6535.40824908984,13714.124980444016,12729.711301463187,34783.479235428575,-4420.553416367826,32760.877861345652,-11732.408458279117,2313.5932964549643,12729.711301463274
2006-10-02,-738.1566424910043,2225.767540732676,-1244.7300419787261,-1044.5525673668667,-4230.1288226816905,-690.1558436631167,14879.680476693698,13003.6929455412,34737.529462934166,-852.511756460121,32625.01433417783,-11314.078400039287,2403.7654629012927,13003.69294554117
2006-10-03,-1098.4461336336099,2622.215684035351,-2541.1497288487967,-996.704012803435,-4239.892231122729,-4125.807783423386,13848.991271114122,12429.153985475592,35069.858133922884,-3019.0394046549673,31879.1951616198,-12211.467607554994,2519.8969917066365,12429.153985475563
2006-10-04,-856.9702269520385,2621.1030645683313,-2401.4405019324536,-1195.187941419168,-4520.267982814921,-3205.3731778137735,13725.153970103514,12526.735091842456,34839.86867020331,-2381.865904667923,31439.19758011429,-11893.651820154668,2684.614171865527,12526.735091842427
2006-10-05,-657.2070676531075,2663.833596605262,-2846.303396726284,-1234.1575055379817,-4977.985572305456,-3856.660428492527,13779.234690486317,12764.922959595287,35250.49253664183,-2598.7397805265346,31469.081690365354,-11981.574131027653,2960.2062126085457,12764.922959595317
2006-10-06,-663.0147650623082,2634.3450972127284,-2948.725527635612,-1252.7766188672404,-4848.594290515137,-3864.662373146575,13725.705833510065,12681.948787126026,35015.832449109024,-2478.7758275422198,31857.949165674167,-12292.203786644579,2697.1727602218607,12681.948787125968
2006-10-07,-328.5292985978149,2699.7624665371486,-2873.8932797353536,-980.3642763357625,-4681.617064281082,-4590.885133247804,14087.582735406953,12397.665187842198,35206.09912461771,-2896.1085843794895,31264.43111846503,-11983.354348858718,2496.268857334442,12397.665187842227
2006-10-08,1740.6852159751288,1394.055771684274,-5604.283782302504,1104.6790107539855,-1714.4971055929782,-10087.632166639552,18147.6551046658,12635.260012680548,34660.191352584545,-4245.684158221935,42867.29987034222,-22143.872891216306,1585.9431168654512,12635.260012680083
2006-10-09,2086.013537088962,1132.9643620850984,-5476.711038471854,1855.1186543931253,-1817.7949129983026,-11209.398374917684,18594.930405734398,12585.712837821746,34653.05057869345,-4615.328511301079,43889.63399351924,-23538.51172301086,1608.458376779352,12585.712837820349
2006-10-10,2046.755609029351,1090.8592267798595,-5111.5426043238895,2006.503173495963,-2114.3922330797723,-10983.329082302625,18296.782519035623,12587.144164948497,34664.4417642232,-4417.593302726287,43590.46005172173,-23496.799908680812,1712.7983289657332,12587.144164949428
2006-10-11,2280.465379225123,1248.7710013611795,-4389.784542382815,1945.020733223817,-1797.7836944765295,-10960.327491680597,18175.698286918272,12358.213502793853,34544.99177780508,-4680.549793965187,44867.37867062443,-25048.97508968319,1555.9656403318404,12358.213502794319
2006-10-12,1641.941071214067,1602.847929966345,-3431.2409683570513,1363.4612436772877,-1985.222153626797,-9647.476384779817,16737.748697503033,11888.481489508442,34248.85017068895,-4469.274794141791,43658.060044312035,-24417.470374785233,1514.6268972227408,11888.48148950751
2006-10-13,1023.625263097405,2075.383413770527,-2511.169113091295,564.4822980669996,-1911.188880236281,-8278.041274879128,15841.452673271604,11574.5135068503,34217.97925426382,-4307.626419556123,42105.78939302136,-22927.452562657352,1478.6448734557925,11574.513506851232
2006-10-14,89.71092060944284,2971.5130528527516,-1159.2929002179262,90.28441313243275,-3944.837431722908,-7388.4332462151615,12911.017310214094,11144.801839574502,34369.01325928373,-4844.738022433881,31028.032430941512,-13749.00466187967,2311.551733058733,11144.801839574444
2006-10-15,1049.7395946604754,2301.5362085597226,-1075.6270516480654,635.9596224952402,-1961.0617335230909,-7874.74201127667,15128.369717593034,11474.916068769278,33964.61411978273,-4634.477297839239,40845.11860775211,-22569.135003594187,1811.2543551971903,11474.916068768813
2006-10-16,1068.4584654444334,2293.4146252559294,-923.5722284708709,611.5034540442502,-1819.5899803021457,-7293.921250659347,16101.600617411925,11484.062619964418,34297.63700652484,-4298.046493724076,41165.42636422554,-22737.723391140884,1771.1222670251773,11484.062619963486
2006-10-17,796.3280682021868,2493.320272727753,-724.2235898221825,144.06297304284817,-2561.876568239095,-6615.647620534408,15556.05824800214,11672.819384772025,34177.144892860946,-4118.804839789023,41079.8190807895,-22225.565984322217,1990.9472082388093,11672.819384771094
2006-10-18,-1170.679873723304,3585.69222210069,320.96916649153354,-869.0552493157647,-5260.82095018496,-5081.361724862472,13041.832070386077,12123.596404288179,35572.8368649038,-4421.5212408193,28544.208022402367,-9738.982684101094,2463.8806510757095,12123.596404288412
2006-10-19,-1673.6336406540213,4026.1884576427256,234.53204815243225,-2143.002203833188,-5146.5226881646995,-3700.2031762301776,13281.62379910264,12356.958641302535,36379.19897225738,-3901.721186456467,28847.3856395342,-8779.86207617764,2273.169839403825,12356.958641302623
2006-10-20,-1903.9575030990527,4237.192119358551,-346.01699709764216,-3676.8420200184046,-3000.3058908103612,-2371.0965625232784,15003.792518330432,12261.978469715905,36571.28336542077,-2996.6059348978597,33719.19453219555,-10806.52426969062,1001.8551457054491,12261.978469716021
2006-10-21,-997.6502937407931,3315.3463117176434,-1661.9174337513396,-3836.2386247758986,-481.7431030989392,-1033.8864593405742,19399.458190275764,12283.947224724252,36690.82851964276,-742.2260707226233,49771.70293599833,-22824.70347559813,1563.5192563815508,12283.947224722855
2006-10-22,-953.727775363659,3523.5713952475926,-1672.739153101982,-4426.0602120239055,-897.5427585522411,392.9971193916863,18318.231917292316,13264.34318854392,36984.48895168832,-4.735743107507005,48979.614342758316,-22073.800311474686,1702.2955823724624,13264.343188544386
2006-10-23,-843.5166222506086,4923.436846153432,-1290.6187699112925,-4949.998273106525,-932.4224299253838,2006.6023738590302,19320.010533607798,13281.303442475968,37505.75802972232,-160.29462012718432,47825.12672757311,-21005.39666578686,1690.2532837487524,13281.303442476667
2006-10-24,-1073.2665009885095,6053.713790041336,-1916.0968217354239,-5021.977329630085,-2416.118924709852,3472.747575353482,16345.690694446559,12621.291187030612,35918.598687670776,117.9643774406577,45735.0256899909,-21120.12775275891,2368.196432498051,12621.291187030612
2006-10-25,-753.1819775079493,6465.930752726883,-2531.788194619723,-4999.473858592246,-2997.116164291627,4429.0021925295005,15505.086905982098,12472.186687892987,35498.02522656927,715.6508315303363,44719.31636388489,-20990.649207181996,2680.8108003147645,12472.186687892987
2006-10-26,-440.9395518534002,6872.371165809804,-2600.9593225330755,-4969.440762914048,-3129.455556756926,5205.893040351773,15132.619618056851,12345.599990457806,35541.058630789106,987.7458882155915,44589.103915076645,-21314.760289078724,2783.883239385148,12345.599990457806
2006-10-27,-1589.8792076721966,6981.727394213576,-3661.1741377768735,-4975.6628362783085,-5179.970098297736,4902.8082570441575,13279.26602712424,12532.04915521485,36223.897341491975,1209.1002542646029,33697.086245219645,-11070.24279582419,3009.0360579312246,12532.049155214763
2006-10-28,-1733.8817421389085,6993.529690412956,-3339.269709977811,-5009.872353505854,-5122.608552957441,4679.87359517974,13233.625539216622,12138.384958077691,35989.54776838015,1075.8828587507937,33695.87377455881,-11226.850811778504,3088.791009448548,12138.384958077633
2006-10-29,-2015.404729282728,7150.395065125813,-3214.93689703371,-4989.431113941231,-5144.070659642748,4161.664445182218,12571.89487084574,12222.580031612604,35780.24420127561,799.8621805012826,33734.95358915551,-11171.042170013036,3095.0536306949907,12222.580031612546
2006-10-30,-1705.1150353737767,6273.319037014135,-3306.5650832047104,-4288.248172385327,-4260.74563963167,4079.0049069409724,13417.835668241198,12121.647752319463,35492.87327126437,1640.2693561738706,43577.05193664902,-20867.97554065846,3136.821416913066,12121.647752319463
